daily_discussion_date,vader_pos,vader_neu,vader_neg,vader_compound,socialsent_compound,socialsent_neu,socialsent_pos,socialsent_neg,vader_votes_compound,vader_votes_neu,vader_votes_neg,vader_votes_pos,socialsent_votes_compound,socialsent_votes_neu,socialsent_votes_neg,socialsent_votes_pos,vader_child_compound,vader_child_neu,vader_child_neg,vader_child_pos,socialsent_child_compound,socialsent_child_neu,socialsent_child_neg,socialsent_child_pos,None,Long-term Holder,Bitcoin Skeptic,Bearish,Bullish,num_comments,num_child,num_word
2017-12-01 00:00:00,0.138043478261,0.772695652174,0.0892608695652,0.0143913043478,-0.0200826086957,0.341608695652,0.36852173913,0.289782608696,0.0947605688611,0.812850900817,0.092228532425,0.0390271047866,-0.210957491359,0.343291406456,0.35321162979,0.303342678925,0.0578473780412,0.869391104018,0.072601532659,0.132593125432,-0.380978797551,0.364237918112,0.322324250169,0.313557812681,1,0,0,0,0,23,1.08705652174,270.347826087
2017-12-01 01:00:00,0.0857941176471,0.814382352941,0.0999117647059,-0.0166,-0.143982352941,0.443794117647,0.242147058824,0.314,0.125166956923,0.748594899799,0.126211598058,-0.0235732415131,-0.130014579561,0.345578176409,0.246406951472,0.40781133665,0.0806065950781,0.819847921729,0.0996969918251,-0.0733002187653,-0.16739152754,0.474633186278,0.214275598878,0.310970009151,1,0,0,0,0,34,0.970688235294,150.205882353
2017-12-01 02:00:00,0.131893939394,0.789424242424,0.0635303030303,0.125357575758,-0.0178681818182,0.392696969697,0.312666666667,0.27953030303,0.132094585647,0.815289387095,0.0389808245038,0.253103087024,0.0970941976236,0.418525875197,0.326452087947,0.241589529791,0.0869894980494,0.864947784248,0.0480761492152,0.133246984028,-0.101845458955,0.494601901902,0.255826494704,0.249599963287,1,0,0,0,0,66,1.01525151515,168.757575758
2017-12-01 03:00:00,0.112725806452,0.798193548387,0.0890806451613,0.11984516129,0.132393548387,0.358693548387,0.353387096774,0.287838709677,0.0988991662458,0.825894273368,0.0751871056029,0.29936609716,0.349574138056,0.374022976489,0.364937464544,0.260981192672,0.0750385114005,0.802396102486,0.122565386114,0.0342936279225,0.13445667601,0.356034766973,0.353258634422,0.290620392303,1,0,0,0,0,62,0.935583870968,290.64516129
2017-12-01 04:00:00,0.100743589744,0.828435897436,0.0708974358974,0.119525641026,0.0481128205128,0.428769230769,0.310666666667,0.260512820513,0.131310196134,0.802425485289,0.0661605516401,0.224779146333,0.197607707264,0.358125240675,0.361488696171,0.28051813188,0.0985360217684,0.817108720571,0.0844266869972,0.0726458154043,0.129610077168,0.445676216527,0.319498769814,0.234717878581,1,0,0,0,0,39,0.718048717949,224.692307692
2017-12-01 05:00:00,0.142045454545,0.789363636364,0.0685909090909,0.167815909091,0.183802272727,0.354113636364,0.379340909091,0.2665,0.146020025373,0.811857586127,0.0421425896223,0.272819575595,0.161096968721,0.403927078999,0.333628294298,0.262353719633,0.123173801008,0.812111425992,0.0646862051628,0.218247945687,0.117648316497,0.378196972381,0.34480434174,0.27685584098,1,0,0,0,0,44,0.795554545455,155.613636364
2017-12-01 06:00:00,0.1087,0.8145,0.07675,0.21182,0.067505,0.378675,0.3256,0.2957,0.135214703877,0.744457729194,0.120236659697,0.44728361529,0.282900436571,0.328877263533,0.352589682287,0.318294427526,0.0707731207056,0.874711773151,0.0544638242232,0.357697858681,0.11074428315,0.415355212286,0.287619280074,0.29674348272,1,0,0,0,0,40,0.9751,247.4
2017-12-01 07:00:00,0.18475,0.758763157895,0.0565,0.119975,0.253605263158,0.312697368421,0.430026315789,0.257355263158,0.154938591822,0.75486344608,0.0903252885957,-0.0748109305184,0.146344767639,0.304217591448,0.390969865929,0.304843599654,0.0961401947032,0.806675882077,0.0972418892991,-0.179695978269,0.206174789443,0.350937816994,0.337517435761,0.311631702885,1,0,0,0,0,76,0.907994736842,149.171052632
2017-12-01 08:00:00,0.0917133757962,0.83074522293,0.0712101910828,0.0717280254777,0.0173929936306,0.374522292994,0.305031847134,0.314089171975,0.0881415986174,0.845280634405,0.0570558742309,0.10677925372,-0.015864202413,0.403087096621,0.307781944213,0.279576561851,0.0686590777537,0.861863370665,0.0617199140418,0.00591979054132,-0.0453173081895,0.418283694891,0.278667296277,0.295221064291,1,0,0,0,0,157,0.815386624204,176.636942675
2017-12-01 09:00:00,0.135605042017,0.807151260504,0.0488655462185,0.146521848739,0.0792655462185,0.389571428571,0.346319327731,0.255680672269,0.132780220712,0.826363177268,0.03944987363,0.177340133998,0.17265098953,0.353560960524,0.403276325017,0.241774663048,0.0906264436515,0.854697605392,0.0456850256594,0.123670017449,0.170398338016,0.443255505941,0.33328968516,0.21447288624,1,0,0,0,0,119,0.932873109244,118.134453782
