daily_discussion_date,vader_pos,vader_neu,vader_neg,vader_compound,socialsent_compound,socialsent_neu,socialsent_pos,socialsent_neg,None,Long-term Holder,Bitcoin Skeptic,Bearish,Bullish,num_comments,num_child,num_word
2017-11-30 23,0.1866,0.68696,0.12644,0.00394,0.039504,0.34572,0.36896,0.28524,0.92,0.08,0.0,0.0,0.0,25,1.48,163.08
2017-12-01 00,0.138043478261,0.772695652174,0.0892608695652,0.0143913043478,-0.0200826086957,0.341608695652,0.36852173913,0.289782608696,1.0,0.0,0.0,0.0,0.0,23,1.08695652174,270.347826087
2017-12-01 01,0.0857941176471,0.814382352941,0.0999117647059,-0.0166,-0.143982352941,0.443794117647,0.242147058824,0.314,0.676470588235,0.264705882353,0.0,0.0294117647059,0.0294117647059,34,0.970588235294,150.205882353
2017-12-01 02,0.131893939394,0.789424242424,0.0635303030303,0.125357575758,-0.0178681818182,0.392696969697,0.312666666667,0.27953030303,0.666666666667,0.257575757576,0.0,0.0454545454545,0.030303030303,66,1.01515151515,168.757575758
2017-12-01 03,0.112725806452,0.798193548387,0.0890806451613,0.11984516129,0.132393548387,0.358693548387,0.353387096774,0.287838709677,0.741935483871,0.129032258065,0.0,0.0,0.129032258065,62,0.935483870968,290.64516129
2017-12-01 04,0.100743589744,0.828435897436,0.0708974358974,0.119525641026,0.0481128205128,0.428769230769,0.310666666667,0.260512820513,0.871794871795,0.025641025641,0.0,0.0,0.102564102564,39,0.717948717949,224.692307692
2017-12-01 05,0.142045454545,0.789363636364,0.0685909090909,0.167815909091,0.183802272727,0.354113636364,0.379340909091,0.2665,0.863636363636,0.0681818181818,0.0,0.0227272727273,0.0454545454545,44,0.795454545455,155.613636364
2017-12-01 06,0.1087,0.8145,0.07675,0.21182,0.067505,0.378675,0.3256,0.2957,0.825,0.1,0.0,0.025,0.05,40,0.975,247.4
2017-12-01 07,0.18475,0.758763157895,0.0565,0.119975,0.253605263158,0.312697368421,0.430026315789,0.257355263158,0.802631578947,0.105263157895,0.0,0.0131578947368,0.0789473684211,76,0.907894736842,149.171052632
2017-12-01 08,0.0917133757962,0.83074522293,0.0712101910828,0.0717280254777,0.0173929936306,0.374522292994,0.305031847134,0.314089171975,0.745222929936,0.133757961783,0.0,0.0445859872611,0.0764331210191,157,0.815286624204,176.636942675
